date,state,deaths,cases
2020-12-09,Alabama,43,3522
2020-12-10,Alabama,49,4735
2020-12-11,Alabama,52,3853
2020-12-12,Alabama,16,4066
2020-12-13,Alabama,0,2790
2020-12-14,Alabama,0,2264
2020-12-15,Alabama,22,3638
2020-12-16,Alabama,74,4107
2020-12-17,Alabama,56,4695
2020-12-18,Alabama,42,5348
2020-12-19,Alabama,93,4221
2020-12-20,Alabama,0,2548
2020-12-21,Alabama,0,2380
2020-12-22,Alabama,63,4979
2020-12-23,Alabama,135,4758
2020-12-24,Alabama,89,4232
2020-12-25,Alabama,4,3625
2020-12-26,Alabama,5,1032
2020-12-27,Alabama,6,2170
2020-12-28,Alabama,21,2269
2020-12-29,Alabama,25,3907
2020-12-30,Alabama,37,5016
2020-12-31,Alabama,53,4406
2021-01-01,Alabama,45,4521
2021-01-02,Alabama,0,3711
2021-01-03,Alabama,1,2476
2021-01-04,Alabama,5,2161
2021-01-05,Alabama,8,5498
2021-01-06,Alabama,108,4591
2021-01-07,Alabama,86,5046
2021-01-08,Alabama,111,5057
2021-01-09,Alabama,108,4863
2021-01-10,Alabama,35,2750
2021-01-11,Alabama,13,2100
2021-01-12,Alabama,226,3848
2021-01-13,Alabama,187,3147
2021-01-14,Alabama,185,3588
2021-01-15,Alabama,85,2945
2021-01-16,Alabama,89,3153
2021-01-17,Alabama,1,1917
2021-01-18,Alabama,1,1430
2021-01-19,Alabama,5,2515
2021-01-20,Alabama,157,3112
2021-01-21,Alabama,96,2881
2021-01-22,Alabama,107,3551
2021-01-23,Alabama,171,3355
2021-01-24,Alabama,3,1728
2021-01-25,Alabama,2,1839
2021-01-26,Alabama,234,2900
2021-01-27,Alabama,276,3177
2021-01-28,Alabama,168,3648
2021-01-29,Alabama,226,2848
2021-01-30,Alabama,0,0
2021-01-31,Alabama,122,4057
2021-02-01,Alabama,0,1221
2021-02-02,Alabama,206,2078
2021-02-03,Alabama,309,2118
2021-02-04,Alabama,162,2767
2021-02-05,Alabama,84,1496
2021-02-06,Alabama,64,1992
2021-02-07,Alabama,2,1112
2021-02-08,Alabama,8,925
2021-02-09,Alabama,56,1318
2021-02-10,Alabama,309,1401
2021-02-11,Alabama,133,1503
2021-02-12,Alabama,159,1097
2021-02-13,Alabama,62,1189
2021-02-14,Alabama,0,1075
2021-02-15,Alabama,2,674
2021-02-16,Alabama,13,883
2021-02-17,Alabama,89,679
2021-02-18,Alabama,78,1198
2021-02-19,Alabama,149,847
2021-02-20,Alabama,17,774
2021-02-21,Alabama,2,857
2021-02-22,Alabama,0,677
2021-02-23,Alabama,68,1453
2021-02-24,Alabama,84,1247
2021-02-25,Alabama,87,890
2021-02-26,Alabama,38,739
2021-02-27,Alabama,61,834
2021-02-28,Alabama,-1,569
2021-03-01,Alabama,2,517
2021-03-02,Alabama,60,652
2021-03-03,Alabama,38,2733
2021-03-04,Alabama,65,922
2021-03-05,Alabama,28,811
2021-03-06,Alabama,27,524
2021-03-07,Alabama,-1,408
2021-03-08,Alabama,0,273
2021-03-09,Alabama,38,524
2021-03-10,Alabama,36,782
2021-03-11,Alabama,52,865
2021-03-12,Alabama,25,448
2021-03-13,Alabama,28,594
2021-03-14,Alabama,0,368
2021-03-15,Alabama,2,4556
2021-03-16,Alabama,8,488
2021-03-17,Alabama,26,759
2021-03-18,Alabama,28,572
2021-03-19,Alabama,34,531
2021-03-20,Alabama,11,508
2021-03-21,Alabama,0,373
2021-03-22,Alabama,0,319
2021-03-23,Alabama,14,10
2021-03-24,Alabama,37,922
2021-03-25,Alabama,17,427
2021-03-26,Alabama,19,442
2021-03-27,Alabama,3,492
2021-03-28,Alabama,0,319
2021-03-29,Alabama,0,228
2021-03-30,Alabama,1,361
2021-03-31,Alabama,27,408
2021-04-01,Alabama,-1,478
2021-04-02,Alabama,54,400
2021-04-03,Alabama,30,349
2021-04-04,Alabama,0,194
2021-04-05,Alabama,1,109
2021-04-06,Alabama,14,196
2021-04-07,Alabama,0,338
2021-04-08,Alabama,23,464
2021-04-09,Alabama,11,318
2021-04-10,Alabama,26,354
2021-04-11,Alabama,0,311
2021-04-12,Alabama,0,172
2021-04-13,Alabama,10,1432
2021-04-14,Alabama,6,277
2021-04-15,Alabama,8,421
2021-04-16,Alabama,3,422
2021-04-17,Alabama,51,508
2021-04-18,Alabama,0,270
2021-04-19,Alabama,0,111
2021-04-20,Alabama,8,1443
2021-04-21,Alabama,9,412
2021-04-22,Alabama,17,682
2021-04-23,Alabama,16,428
2021-04-24,Alabama,11,421
2021-04-25,Alabama,0,233
2021-04-26,Alabama,1,217
2021-04-27,Alabama,2,359
2021-04-28,Alabama,25,376
2021-04-29,Alabama,8,430
2021-04-30,Alabama,9,409
